[2026-06-05T01:47:55.405+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-05T01:47:55.449+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-05T01:46:00+00:00 [queued]>
[2026-06-05T01:47:55.463+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-05T01:46:00+00:00 [queued]>
[2026-06-05T01:47:55.464+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-05T01:47:55.478+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-06-05 01:46:00+00:00
[2026-06-05T01:47:55.492+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-06-05T01:46:00+00:00', '--job-id', '511', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp650yvg_o']
[2026-06-05T01:47:55.496+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=32706) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-05T01:47:55.497+0000] {standard_task_runner.py:91} INFO - Job 511: Subtask download_minio
[2026-06-05T01:47:55.497+0000] {standard_task_runner.py:64} INFO - Started process 32712 to run task
[2026-06-05T01:47:55.596+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-05T01:46:00+00:00 [running]> on host 125711930d3c
[2026-06-05T01:47:55.726+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-06-05T01:46:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-05T01:46:00+00:00'
[2026-06-05T01:47:55.728+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-05T01:47:56.216+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528763.json -> /tmp/minio_downloads/1780528763.json
[2026-06-05T01:47:56.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528782.json -> /tmp/minio_downloads/1780528782.json
[2026-06-05T01:47:56.241+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528791.json -> /tmp/minio_downloads/1780528791.json
[2026-06-05T01:47:56.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528801.json -> /tmp/minio_downloads/1780528801.json
